image_id,image_path,image_name,rel_path,inferred_label
707493dd-747e-4d9f-9d41-413b973af2ff,/home/sheru/.cache/kagglehub/datasets/rkuo2000/uecfood256/versions/1/UECFOOD256/1/1.jpg,1.jpg,UECFOOD256/1/1.jpg,1
39a71919-600b-4b38-af60-248d2adf87de,/home/sheru/.cache/kagglehub/datasets/rkuo2000/uecfood256/versions/1/UECFOOD256/1/10.jpg,10.jpg,UECFOOD256/1/10.jpg,1
f71dae85-4dd9-4fb0-8268-6cf607d9b58c,/home/sheru/.cache/kagglehub/datasets/rkuo2000/uecfood256/versions/1/UECFOOD256/1/10572.jpg,10572.jpg,UECFOOD256/1/10572.jpg,1
62c00bc7-56a6-42f1-bdb7-a374b407c749,/home/sheru/.cache/kagglehub/datasets/rkuo2000/uecfood256/versions/1/UECFOOD256/1/10586.jpg,10586.jpg,UECFOOD256/1/10586.jpg,1
5fd6ca81-8b94-47ec-a8c2-c3f6dd22cd7c,/home/sheru/.cache/kagglehub/datasets/rkuo2000/uecfood256/versions/1/UECFOOD256/1/10617.jpg,10617.jpg,UECFOOD256/1/10617.jpg,1
84b36d52-8f97-41b8-9caa-db00346f5723,/home/sheru/.cache/kagglehub/datasets/rkuo2000/uecfood256/versions/1/UECFOOD256/1/10618.jpg,10618.jpg,UECFOOD256/1/10618.jpg,1
2a0fa619-0cc7-4e16-ab18-e84f779410a1,/home/sheru/.cache/kagglehub/datasets/rkuo2000/uecfood256/versions/1/UECFOOD256/1/10621.jpg,10621.jpg,UECFOOD256/1/10621.jpg,1
16ac68b4-5c52-47a9-be34-f5380ae87756,/home/sheru/.cache/kagglehub/datasets/rkuo2000/uecfood256/versions/1/UECFOOD256/1/10628.jpg,10628.jpg,UECFOOD256/1/10628.jpg,1
b275fa49-f0ee-467f-87fc-bff9b7ae6527,/home/sheru/.cache/kagglehub/datasets/rkuo2000/uecfood256/versions/1/UECFOOD256/1/10630.jpg,10630.jpg,UECFOOD256/1/10630.jpg,1
cf21c681-7ed1-4746-a9c0-299be5d63a36,/home/sheru/.cache/kagglehub/datasets/rkuo2000/uecfood256/versions/1/UECFOOD256/1/10633.jpg,10633.jpg,UECFOOD256/1/10633.jpg,1
66296eb0-7253-41fe-9260-408821293ead,/home/sheru/.cache/kagglehub/datasets/rkuo2000/uecfood256/versions/1/UECFOOD256/1/10634.jpg,10634.jpg,UECFOOD256/1/10634.jpg,1
1001c1ef-649a-4eab-a2d6-113be16dcc1c,/home/sheru/.cache/kagglehub/datasets/rkuo2000/uecfood256/versions/1/UECFOOD256/1/10640.jpg,10640.jpg,UECFOOD256/1/10640.jpg,1
